nodeA,nodeB,relationship
9,8,1217567877
1,1,1217573801
13,1,1217606247
17,1,1217617639
48,2,1217618182
17,1,1217618239
19,9,1217618357
13,23,1217618560
13,11,1217618799
23,23,1217619360
35,33,1217620542
39,33,1217620597
43,22,1217620971
17,32,1217621272
39,40,1217621416
37,40,1217621670
45,45,1217621917
17,17,1217622124
49,13,1217623079
13,23,1217623216
50,37,1217623475
40,37,1217623560
55,8,1217623986
51,32,1217624788
60,2,1217625055
39,8,1217625808
59,59,1217625982
61,58,1217627137
25,61,1217627213
40,59,1217627573
2089740,61,1217627627
25,61,1217627708
59,59,1217627895
72,9,1217628719
61,39,1217629165
36,39,1217629413
146270,72,1217629643
34,39,1217629692
60,72,1217629931
17,72,1217629962
58,72,1217630083
26,26,1217632187
35,58,1217632427
26,58,1217632744
59,78,1217633503
72,48,1217633802
72,58,1217634210
71,48,1217634474
42,58,1217635015
86,58,1217635287
146637,37,1217636623
71,30,1217636664
80,87,1217636904
44,87,1217637056
146637,30,1217637238
59,30,1217637724
146637,59,1217637906
9,72,1217638074
70,30,1217638315
42,39,1217638366
17,48,1217638448
33,39,1217638634
17,83,1217639296
30,91,1217639333
93,58,1217640239
59,83,1217640270
86,78,1217641872
55,78,1217643717
80,83,1217644105
71,60,1217644489
50,2089740,1217644606
35,71,1217645534
50,91,1217645925
39,91,1217646128
96,91,1217646312
91,1,1217652372
71,62,1217653950
91,62,1217654301
48,91,1217654405
34,91,1217654557
71,91,1217655096
55,146637,1217657456
55,91,1217657873
34,105,1217659228
101,105,1217659445
91,91,1217659797
40,146637,1217660315
55,146637,1217660613
40,146637,1217661659
106,96,1217662955
109,109,1217663018
91,109,1217663268
40,91,1217664641
49,109,1217664942
91,71,1217666294
49,91,1217666986
55,106,1217667411
59,59,1217670222
58,59,1217670907
59,63,1217671224
50,59,1217672179
61,111,1217673813
59,61,1217674161
59,111,1217674894
100,91,1217675895
50,61,1217676714
5,32,1217679622
116,61,1217681517
116,106,1217682304
115,9,1217682410
119,91,1217682983
109,106,1217683413
80,115,1217688487
117,106,1217688536
122,115,1217688967
116,61,1217689702
115,146637,1217689705
124,49,1217691124
122,122,1217692728
118,115,1217695254
134,134,1217695860
91,134,1217695956
136,49,1217697714
135,25,1217697761
137,91,1217700355
137,40,1217701497
123,72,1217701847
136,91,1217705292
17,49,1217709957
144,2,1217714233
147,111,1217715663
49,71,1217716393
147,136,1217718642
50,147,1217721413
143,77,1217722692
150,83,1217723634
153,147,1217724148
136,151,1217724634
154,83,1217724890
156,61,1217725026
